GENERIC_NAME,M.W.,ALOGPS_LOGP,#DONOR,#ACCEPTOR,#RINGS,#ROTATABLE_BOND,,POLAR_SURFACE_AREA,REFRACTIVITY,LOGS,POLARIZABILITY,PKA
Cyanocobalamin,1355.37,,9,14,12,16,,440.79,344.124,,134.613,12.5729
Ceruletide,1352.41,-0.19,17,20,5,38,,551.4,325.743,-5.07,129.958,3.60807
Hydroxocobalamin,1346.36,,10,14,12,16,,437.23,340.033,,135.556,11.555
Methylcobalamin,1344.38,,9,13,12,16,,417,342.794,,135.872,12.5794
Nafarelin,1322.5,1.27,16,17,8,33,,474.63,348.068,-4.96,137.595,10.6282
Capreomycin,1321.41,,14,14,4,19,,378.42,162.205,,66.5622,10.9382
Triptorelin,1311.47,1.07,18,17,8,33,,487.92,352.432,-4.63,135.23,10.9844
Icatibant,1304.52,-2.32,15,23,7,30,,523.72,332.911,-4.36,137.03,11.8946
Suramin,1297.28,-0.12,12,23,8,16,,483.75,314.905,-5.17,120.222,-3.03497
Micafungin,1270.27,0.67,16,22,7,18,,510.14,303.071,-3.77,128.22,10.0498
Goserelin,1269.41,0.3,17,18,6,33,,495.89,325.839,-4.65,131.221,9.81859
Ioxaglic acid,1268.89,0.58,6,8,2,10,,194.24,214.048,-4.92,82.9351,11.2982
Dactinomycin,1255.42,2.76,5,16,7,8,,355.54,326.172,-4.8,129.203,11.0985
Atracurium besylate,1243.49,3.34,0,10,8,28,,126.44,280.677,-7.47,104.673,19.6186
Cisatracurium besylate,1243.48,3.34,0,10,8,28,,126.44,280.677,-7.47,105.549,19.6186
Ammonium molybdate,1235.92,,1,0,0,0,,0,16.3149,,2.38018,
Terlipressin,1227.37,-1.62,16,17,4,25,,512.85,305.183,-3.87,123.882,11.3853
Polymyxin B Sulfate,1203.48,-0.89,18,18,2,29,,490.66,313.216,-4.21,129.713,12.0367
Cyclosporine,1202.64,,5,12,1,15,,278.8,327.142,,133.601,12.2341
Gonadorelin,1182.29,-0.09,16,17,6,31,,474.63,302.505,-4.3,121.192,10.6275
Colistin,1155.45,0.22,18,29,1,28,,529.05,303.408,-4.16,0,3.11339
Sincalide,1143.27,0.48,13,16,4,33,,426.8,282.072,-5.41,112.686,3.20083
Anidulafungin,1140.24,1.87,14,17,7,14,,377.42,292.293,-4.31,122.378,11.0296
Iodipamide,1139.76,3.42,4,6,2,9,,132.8,183.981,-5.57,69.7138,2.6276
Vapreotide,1131.38,3.1,14,19,7,18,,376.06,320.805,-5.04,117.6,3.24513
Inosine pranobex,1115.25,-1.87,4,7,6,14,,129.2,61.3318,-1.29,24.6008,12.455
Pibrentasvir,1113.2,5.89,4,14,10,17,,206.56,286.415,-5.32,114.928,4.12269
Doxacurium chloride,1106.14,3.82,0,14,6,29,,163.36,302.15,-7.11,113.306,19.0072
Lanreotide,1096.33,1.87,13,12,6,17,,355.08,292.923,-5.34,114.685,11.4165
Caspofungin,1093.31,0.17,16,18,4,23,,412.03,278.78,-3.47,117.518,11.2873
Plicamycin,1085.15,-0.23,11,24,8,15,,358.2,257.009,-2.92,114.413,9.77921
Desmopressin,1069.22,-1.04,14,15,4,19,,435.41,279.78,-3.99,106.194,11.3443
Fidaxomicin,1058.04,5.59,7,15,4,15,,266.66,269.661,-4.93,110.467,8.55106
Etelcalcetide,1048.26,-3.35,22,23,0,36,,557.71,303.625,-3.9,107.582,
Pasireotide,1047.21,3.03,9,10,8,18,,281.2,286.662,-5.71,111.292,10.7756
Felypressin,1040.22,-1.11,12,13,4,19,,405.32,264.791,-4.36,103.931,11.7998
Temsirolimus,1030.29,4.39,4,14,4,11,,241.96,277.067,-5.64,112.714,13.4022
Mivacurium,1029.26,3.8,0,12,6,30,,144.9,308.744,-7.53,116.683,19.1903
Quinupristin,1022.23,2.99,4,12,8,10,,231.2,272.84,-4.36,107.453,11.4272
Octreotide,1019.25,0.42,13,12,5,17,,332.22,269.77,-4.92,107.653,11.8026
Carbetocin,988.161,0.14,10,12,3,18,,362.51,250.185,-4.57,100.997,11.8288
Trypan blue,960.79,3.34,4,20,6,9,,370.74,214.181,-5.2,85.1606,-3.59478
Everolimus,958.24,5.01,3,13,4,9,,204.66,261.707,-5.77,106.608,13.4283
Gadofosveset trisodium,957.87,3.84,0,15,3,23,,268.96,241.553,-3.8,69.2765,1.7213
Deslanoside,943.079,-0.49,9,18,9,10,,282.21,225.646,-3.3,100.648,12.1834
Gadopentetate dimeglumine,938,,2,13,0,28,,204.71,118.961,,34.1657,2.39339
Cisatracurium,929.16,3.41,0,10,6,26,,126.44,280.677,-7.63,105.998,19.6186
Nystatin,926.095,-2.82,12,17,2,3,,327.45,245.175,-4.15,102.108,12.652
Amphotericin B,924.079,-0.66,12,17,3,3,,319.61,244.671,-4.05,99.4473,11.8266
Sirolimus,914.187,4.85,3,12,4,6,,195.43,250.663,-5.72,101.743,13.3682
Benzathine benzylpenicillin,909.13,3.86,1,4,8,15,,89.54,95.3649,-6.75,33.4354,12.1194
Sodium stibogluconate,907.88,,5,17,4,8,,269.08,96.2875,,39.7787,2.95925
Technetium Tc-99m tetrofosmin,898.86,3.85,0,4,0,38,,36.92,115.733,-5.76,45.5194,
Ombitasvir,894.127,5.72,4,7,6,16,,178.72,250.791,-5.67,99.103,13.1791
Gallamine Triethiodide,891.529,-0.38,0,3,1,21,,27.69,189.983,-8.28,63.4264,
Ledipasvir,889,5.92,4,10,10,12,,181.62,237.303,-5.69,98.9084,4.30673
Velpatasvir,883.019,5.65,4,12,9,13,,200.08,242.15,-5.76,97.9057,4.36152
Elbasvir,882.035,6.17,4,7,9,13,,188.8,241.025,-5.3,98.7109,12.9457
Rifapentine,877.031,4.83,6,14,6,6,,220.15,241.996,-4.61,93.1413,8.64849
Voxilaprevir,868.94,3.98,3,10,7,8,,195.22,203.021,-4.23,85.3738,11.1642
Venetoclax,868.45,6.92,3,10,8,12,,172.03,238.585,-5.97,93.9539,13.574
Iron saccharate,866.546,1.99,8,11,2,5,,189.53,68.7741,-1.75,30.9685,12.3938
Ubiquinol,865.359,9.68,2,4,1,31,,58.92,286.454,-6.57,112.459,12.1538
Ubidecarenone,863.343,9.94,0,4,1,31,,52.6,286.605,-6.65,112.376,
Prussian blue,859.239,,0,6,0,0,,142.74,39.9336,,16.9176,
Paclitaxel,853.906,3.2,4,10,7,14,,221.29,218.295,-5.19,87.1712,11.9884
Rifabutin,847.005,4.25,5,13,6,5,,205.55,232.644,-4.7,90.7181,12.6328
Spiramycin,843.065,2.99,4,15,4,11,,195.38,219.246,-3.63,91.6823,13.1238
Glecaprevir,838.87,4.26,3,10,7,6,,195.22,194.551,-4.26,80.1569,11.12
Roxithromycin,837.047,2.9,5,16,3,13,,216.89,211.238,-3.65,91.842,12.926
Cabazitaxel,835.932,3.69,3,10,6,15,,202.45,213.404,-5.31,86.3907,13.1814
Dirithromycin,835.086,2.9,5,15,4,12,,196.33,212.953,-3.56,91.3757,12.966
Phloxine B,829.63,7.71,0,5,4,1,,89.49,174.483,-7.04,54.7097,3.7627
Josamycin,827.995,3.47,3,13,3,14,,206.05,211.034,-4.19,87.9125,13.5038
Vincristine,824.958,3.36,3,9,9,10,,171.17,221.48,-4.44,88.5871,14.4051
Rifampicin,822.94,3.85,6,14,5,5,,220.15,225.583,-4.3,86.4577,8.24914
Iohexol,821.138,-2.82,8,9,1,12,,199.89,148.839,-3.01,60.3674,12.6401
Vinflunine,816.944,4.5,2,8,9,10,,133.87,216.527,-5.16,85.6842,15.0498
Troleandomycin,813.968,3.76,0,12,4,12,,184.19,201.147,-4.63,86.0754,
Telithromycin,812.018,4.21,1,11,5,11,,171.85,214.684,-4.46,90.4385,12.8317
Vinblastine,810.974,4.22,3,9,9,10,,154.1,222.421,-4.68,87.8066,14.4051
Inositol nicotinate,810.732,3.49,0,12,7,18,,235.14,201.766,-4.67,76.082,
Pimecrolimus,810.46,4.36,2,10,4,6,,158.13,214.026,-5.73,87.7933,14.6633
Docetaxel,807.879,2.59,5,10,6,13,,224.45,203.902,-4.8,82.0645,12.0225
Ioversol,807.115,-2.98,8,9,1,12,,199.89,144.579,-2.89,58.3105,12.6075
Acetyldigitoxin,806.976,2.87,4,12,8,9,,188.9,200.869,-4.82,87.9454,13.06
Hydroxyethyl cellulose,806.937,-1.14,8,19,2,28,,263.37,192.035,-2.45,87.5648,14.3081
Tacrolimus,804.018,3.19,3,11,4,7,,178.36,215.62,-5.3,87.4146,14.0714
Light green sf yellowish,792.848,2.08,0,10,5,12,,177.85,218.8,-7.04,77.052,-1.81258
Ioxilan,791.116,-2.51,7,8,1,11,,179.66,142.876,-3.15,57.051,12.6596
Iopromide,791.112,-1.05,6,10,1,11,,175.64,146.095,-3.94,57.6512,7.11957
Metrizamide,789.1,-0.4,6,10,1,9,,183.48,143.324,-3.94,56.2997,6.23667
Rifaximin,785.879,4.94,5,11,6,3,,198.38,216.693,-5.03,82.256,7.67246
Flavin adenine dinucleotide,785.55,-0.78,9,19,6,13,,356.42,177.431,-2.27,70.6239,2.67102
Digoxin,780.938,1.04,6,13,8,7,,203.06,193.233,-3.79,84.8033,12.9836
Vinorelbine,778.932,4.39,2,8,9,10,,133.87,216.988,-4.81,84.6957,15.0494
Iopamidol,777.085,-0.97,8,11,1,10,,198.92,141.463,-3.82,55.6702,5.84611
Levothyroxine,776.87,1.15,3,4,2,5,,92.78,126.788,-4.94,49.4016,7.42676
Dextrothyroxine,776.87,1.15,3,4,2,5,,92.78,126.788,-4.94,49.3118,7.42676
Hyaluronic acid,776.649,-1.82,14,23,4,12,,399.71,155.101,-1.22,70.5578,3.4811
Cangrelor,776.35,1.21,7,14,3,16,,255.91,153.778,-2.25,63.9207,1.59923
Cobicistat,776.03,4.36,3,7,5,20,,138.02,211.489,-5.79,83.423,14.6525
Technetium Tc-99m sestamibi,775.96,5.44,0,1,0,12,,13.59,41.6121,-5.24,12.6995,
Indocyanine green,774.97,4.17,0,7,6,14,,120.65,228.883,-8.27,86.7291,-0.306771
Pentagastrin,767.9,1.66,8,8,3,22,,250.91,200.036,-5.47,78.0139,11.7737
Grazoprevir,766.903,3.14,3,14,7,7,,205.69,195.246,-4.9,81.0943,5.96737
Paritaprevir,765.89,3.5,3,10,8,6,,189.65,200.983,-4.99,79.7001,10.5326
Digitoxin,764.939,2.33,5,12,8,7,,182.83,191.717,-4.42,83.5798,13.0306
Trabectedin,761.837,2.04,4,12,9,4,,168.72,196.921,-3.37,77.7185,10.0613
Vindesine,753.926,3.53,5,9,9,7,,164.82,210.322,-4.03,82.5751,13.8617
Simeprevir,749.939,4.82,2,11,7,7,,163.87,207.793,-5.21,80.18,6.80344
Azithromycin,748.985,3.03,5,13,3,7,,180.08,194.108,-3.16,83.1092,12.8982
Asunaprevir,748.286,3.89,3,13,5,13,,192.8,188.456,-5.36,76.4085,6.02545
Clarithromycin,747.953,3.18,4,13,3,8,,182.91,190.788,-3.54,82.0312,12.9408
Ferric pyrophosphate,745.21,,0,6,0,6,,135.61,21.038,,9.03189,3.04039
Daclatasvir,738.89,4.67,4,6,6,13,,174.64,201.819,-4.94,83.9132,11.7481
Colfosceril palmitate,734.039,5.29,0,4,0,40,,111.19,215.865,-7.52,91.9976,
Erythromycin,733.927,2.37,5,13,3,7,,193.91,186.037,-3.2,78.2147,12.9086
Eribulin,729.897,1.26,2,12,9,4,,146.39,185.995,-3.96,77.5248,17.3241
Valrubicin,723.651,2.67,5,12,5,12,,215.22,168.028,-4.35,69.1961,9.40315
Ritonavir,720.944,4.24,4,6,4,18,,145.78,194.592,-5.76,77.4,14.2299
Carfilzomib,719.91,3.21,4,8,4,20,,158.47,198.017,-5.17,79.4414,12.3967
Verteporfin,718.794,5.02,3,7,6,12,,173.56,199.085,-4.72,81.2866,15.6276
Isavuconazonium,717.77,1.73,2,9,5,15,,159.37,193.86,-5.16,71.6314,14.1539
Bismuth Subcitrate,708.503,-1.28,3,7,0,10,,134.96,46.461,-0.01,15.0884,4.67484
Itraconazole,705.633,5.48,0,9,7,11,,100.79,200.4,-4.86,74.6982,
Voacamine,704.897,6.26,2,5,9,7,,99.89,203.684,-5.34,,16.7795
Atazanavir,704.856,4.08,5,7,3,18,,171.22,191.803,-5.33,76.8252,13.0749
Posaconazole,700.777,4.71,1,9,7,12,,111.79,200.706,-4.77,73.8304,
Samarium Sm-153 lexidronam pentasodium,695.93,0.96,0,14,0,11,,259.24,71.3404,-1.45,30.1044,1.38156
Lomitapide,693.72,,2,3,6,12,,61.44,181.727,,68.0797,15.5619
Mangafodipir,691.382,0.79,6,16,2,17,,286.5,164.24,-2.85,56.9709,1.96659
Dalfopristin,690.85,2.57,2,9,3,7,,176.42,182.84,-3.98,72.9436,14.6459
Viomycin,685.69,-3.43,16,15,2,10,,390.36,171.457,-2.82,66.947,10.8703
Enviomycin,685.69,-1.42,17,23,2,10,,412.29,186.225,-3.65,65.2104,3.00407
Ceftaroline fosamil,684.67,-0.79,4,13,5,11,,223.24,171.629,-4.48,63.8991,2.85357
Gadoxetic acid,681.75,1.24,2,14,1,20,,213.94,159.21,-3.2,50.6699,2.50965
Temoporfin,680.764,,6,6,9,4,,138.28,201.337,,76.6099,9.54178
Telaprevir,679.849,2.56,4,8,5,14,,179.56,180.04,-4.28,74.3695,12.3875
Auranofin,678.48,2.99,0,5,1,15,,114.43,114.885,-3.65,50.8239,
Saquinavir,670.841,3.96,6,10,5,13,,174.72,198.653,-4.94,74.2497,5.89697
Gadobenic acid,667.73,0.92,2,14,1,20,,213.94,154.362,-3,48.3179,2.39483
Ceftolozane,666.69,-1.2,7,14,4,12,,302.21,194.512,-3.91,62.0383,3.01836
Natamycin,665.733,-3.46,7,13,4,3,,230.99,169.883,-3.38,68.5787,11.8303
NADH,665.441,-1.45,8,16,5,11,,317.62,143,-2.35,57.6519,1.78554
Gadoversetamide,661.76,0.36,2,13,0,22,,206.77,154.485,-2.41,49.8107,2.75102
Teniposide,656.654,2.78,3,12,8,6,,160.83,155.61,-4.04,64.8441,12.2755
Bromocriptine,654.595,3.2,3,6,7,5,,118.21,165.512,-3.88,66.4354,11.1297
Metocurine,652.819,2.36,0,4,7,4,,55.38,211.942,-8.05,73.0765,14.5212
Naloxegol,651.794,1.73,2,12,5,24,,126.77,171.675,-4.06,72.8711,13.6028
Liothyronine,650.973,0.82,3,4,2,5,,92.78,113.426,-4.52,43.9206,8.49113
Cefoperazone,645.667,-0.11,4,11,5,9,,220.26,169.057,-3.35,62.6189,9.46913
Acarbose,645.608,-2.7,14,19,3,13,,329.01,139.025,-0.78,62.114,12.2764
Amiodarone,645.312,7.24,0,3,3,11,,42.68,145.055,-5.13,56.7811,
Tyropanoic acid,641.026,4.14,2,3,1,7,,66.4,115.321,-5.3,44.9133,12.1448
Iobenguane sulfate I-123,640.26,1.42,3,3,2,4,,61.9,68.6085,-3.44,21.8755,
Fusafungine,639.82,3.81,0,6,1,6,,139.83,166.599,-4.54,69.2691,19.2793
Valproate bismuth,638.598,6.2,0,2,0,15,,40.13,51.0862,-3.95,16.5854,
Rescinnamine,634.716,4.48,1,8,6,11,,117.78,171.164,-5.26,69.6545,
Efonidipine,631.666,5.35,1,6,5,11,,120.24,175.4,-6.41,64.9642,
Remikiren,630.838,3.56,5,9,4,16,,168.46,170.643,-4.69,68.8235,7.07638
Lopinavir,628.801,3.91,4,5,4,15,,120,179.364,-5.51,69.1951,13.9762
Metrizoic acid,627.943,2.18,2,4,1,3,,86.71,106.244,-3.85,39.9333,12.139
Dabigatran etexilate,627.733,5.17,2,8,4,17,,154.03,176.429,-5.13,71.1147,
Benzylpenicilloyl Polylysine,626.765,-0.89,6,8,2,17,,170.85,122.215,-3.86,50.3071,3.00923
Oftasceine,622.539,2.04,6,13,5,12,,231.67,152.644,-4.18,59.2317,1.95281
Nonoxynol-9,616.823,3.49,1,10,1,35,,103.3,169.011,-6.46,77.0667,
Paromomycin,615.629,-2.92,13,19,4,9,,347.32,134.243,-0.89,60.4028,12.9025
Lifitegrast,615.48,3.96,2,6,5,7,,133.99,154.479,-5.03,59.487,12.5709
Trametinib,615.395,3.45,2,5,5,5,,102.06,156.384,-4.3,55.4335,14.0516
Framycetin,614.644,-2.81,13,19,4,9,,353.11,135.9,-0.98,60.8694,13.194
Fosaprepitant,614.407,2.89,3,9,4,9,,123.93,138.63,-4.99,49.9211,3.1487
Iothalamic acid,613.916,2.27,3,4,1,3,,95.5,102.24,-3.7,38.5825,11.9361
Diatrizoate,613.914,2.27,3,4,1,3,,95.5,103.128,-3.76,38.4283,11.8417
Indinavir,613.789,3.26,4,7,5,12,,118.03,175.894,-4.11,68.6277,14.2119
Cefpiramide,612.637,0.53,5,11,5,9,,212.76,164.814,-3.96,58.7915,9.25988
Glutathione disulfide,612.631,-3.6,10,14,0,21,,317.64,136.654,-3.18,58.467,2.02792
Novobiocin,612.624,3.07,5,9,4,9,,196.1,158.244,-4.8,63.9721,8.26824
Lercanidipine,611.727,6.42,1,6,4,14,,113.69,177.853,-6.59,65.7826,
Manidipine,610.711,5.11,1,7,5,12,,116.93,175.129,-5.79,65.7212,
Candesartan cilexetil,610.671,5.12,1,8,6,13,,143.34,177.42,-5.48,63.9423,
Tubocurarine,609.731,3.12,2,5,7,2,,80.62,187.064,-6.3,66.4137,9.15983
Reserpine,608.679,4.05,1,8,6,10,,117.78,161.418,-4.73,66.0501,
Diosmin,608.545,0.08,8,15,5,7,,234.29,142.391,-2.6,59.1727,9.58453
Fulvestrant,606.771,6.54,2,3,4,15,,57.53,155.337,-4.96,65.6352,19.3777
Gadobutrol,604.72,0.35,3,9,4,10,,181.08,143.467,-4.19,45.3867,1.50138
Benzonatate,603.742,2.09,1,11,1,33,,121.4,161.542,-5.58,67.8658,
Pipecuronium,602.891,-1.41,0,4,6,6,,59.08,193.038,-6.85,72.2236,
Tipranavir,602.664,6.29,2,5,4,11,,105.59,154.572,-6.47,60.8706,6.91756
Lymecycline,602.633,-0.27,9,13,4,10,,242.98,154.51,-2.66,62.8754,2.58306
Pentosan Polysulfate,602.497,-2.49,6,17,2,10,,322.55,96.3789,-2.24,46.1666,-2.50746
Iopodic acid,597.961,3.59,1,4,1,4,,52.9,104.909,-4.86,40.2328,
Calcium glubionate,592.513,-2.47,13,17,1,17,,334.05,107.1,-1.1,50.7562,11.8216
Etoposide,588.557,0.73,3,12,7,5,,160.83,139.021,-2.78,58.7662,12.2756
Antrafenine,588.543,6.3,1,5,5,10,,57.7,147.006,-5.32,55.4849,
Macitentan,588.273,3.05,2,9,3,9,,128.22,126.984,-4.94,50.5513,12.2669
Irinotecan,586.678,3.94,1,6,7,5,,112.51,161.33,-3.74,65.2662,
Montelukast,586.183,7.25,2,4,5,12,,70.42,169.504,-7.85,66.3645,14.6037
Samarium (153Sm) lexidronam,586.021,0.03,5,14,0,11,,245.09,76.9489,-1.54,31.4365,1.38156
Tigecycline,585.649,0.66,7,11,4,7,,205.76,159.343,-3.11,61.771,5.01741
Fosamprenavir,585.607,0.84,4,8,3,13,,177.72,144.954,-2.93,57.7733,6.28049
Amikacin,585.602,-3.22,13,17,3,10,,331.94,129.841,-1.07,58.1984,12.706
Ouabain,584.653,-1.03,8,11,6,4,,206.6,140.834,-2.1,59.9256,12.2104
Brigatinib,584.1,5.11,2,9,5,8,,85.86,164.771,-4.42,64.0963,14.7041
Dihydroergotamine,583.677,3.04,3,6,8,4,,118.21,159.395,-3.41,63.3031,11.6747
Polidocanol,582.807,3.15,1,10,0,37,,103.3,158.334,-6.16,74.4912,
Azelnidipine,582.657,5.12,2,7,5,11,,137.03,172.06,-5.85,60.762,19.9653
Ergotamine,581.662,2.95,3,6,8,4,,118.21,160.168,-3.42,61.6851,11.6355
Streptomycin,581.574,-2.61,14,19,3,9,,331.43,149.471,-1.66,55.7582,
Lapatinib,581.058,5.18,2,7,5,11,,106.35,152.417,-4.42,61.1868,
Deserpidine,578.653,4.25,1,7,6,9,,108.55,154.955,-4.72,62.5914,
Netupitant,578.603,5.48,0,4,4,7,,39.68,148.594,-5.31,55.8798,
Zafirlukast,575.675,4.84,2,6,5,8,,115.73,158.577,-5.78,62.0618,12.9333
Cefotetan,575.619,-0.65,4,11,4,9,,219.93,153.552,-3.04,51.8101,4.06305
Zinc citrate,574.34,0.04,1,7,0,10,,140.62,68.1352,-1.97,14.2259,4.67484
Gadodiamide,573.66,,0,0,7,0,,171.24,122.254,,40.7168,
Pancuronium,572.862,1.04,0,2,6,6,,52.6,185.222,-8.32,69.4386,
Letermovir,572.561,4.58,1,8,5,7,,77.84,147.443,-4.76,54.9962,
Iopanoic acid,570.932,3.93,2,3,1,4,,63.32,95.93,-4.62,36.9148,19.2523
Procaine benzylpenicillin,570.71,1.92,2,4,4,11,,86.71,84.5278,-3.07,33.4973,12.1194
Midostaurin,570.649,4.52,1,4,9,3,,77.73,162.608,-4.56,60.5819,15.0657
Naldemedine,570.646,3.14,4,8,8,6,,141.18,165.784,-3.4,61.3439,10.4436
Eluxadoline,569.662,1.08,4,7,4,11,,164.63,160.377,-5.33,61.8628,12.8592
Lutein,568.886,8.29,2,2,2,10,,40.46,195.063,-5.89,73.8121,18.9072
Zeaxanthin,568.886,8.3,2,2,2,10,,40.46,194.951,-5.94,73.4674,18.9072
Azilsartan medoxomil,568.534,4.94,1,7,6,10,,139.57,149.518,-4.91,57.7297,
Nelfinavir,567.782,4.61,4,5,4,10,,101.9,162.674,-5.47,63.8018,14.1339
Isosulfan blue,566.66,1.14,0,7,3,9,,120.65,169.571,-6.28,57.8409,-1.76163
Propoxyphene napsylate,565.73,4.06,0,2,4,10,,29.54,102.881,-4.91,38.5444,
Fosinopril,563.663,4.71,1,5,3,15,,110.21,149.12,-5.75,61.1704,10.3816
Thiocolchicoside,563.62,0.78,5,10,4,7,,164.01,145.065,-3.21,57.7219,13.1888
Ecamsule,562.69,0.37,2,8,5,6,,142.88,143.556,-4.99,59.6398,-0.444354
Deferoxamine,560.684,0.93,6,9,0,23,,205.84,144.951,-3.75,62.4054,8.39059
Gadoteridol,558.68,0.36,1,11,1,8,,153.58,133.553,-1.77,39.4189,1.56543
Gadoteric acid,558.65,0.23,1,12,1,8,,170.65,128.926,-1.72,38.1455,1.79834
Atorvastatin,558.64,4.24,4,5,4,12,,111.79,158.198,-5.95,59.3882,11.8245
Ceritinib,558.14,5.23,3,8,4,9,,105.24,153.857,-5.4,61.3253,13.6183
Vecuronium,557.827,2.07,0,3,6,6,,55.84,169.308,-7.5,66.8452,
Neratinib,557.05,4.72,2,8,4,11,,112.4,157.286,-4.92,58.0977,18.1473
Acetrizoic acid,556.864,3.03,2,3,1,2,,66.4,88.2647,-4,33.4326,12.2849
Demecarium,556.78,0.65,0,2,2,17,,59.08,185.711,-7.57,64.4873,
Dronedarone,556.756,6.46,1,5,3,17,,88.85,158.128,-5.44,66.0533,
Quinidine barbiturate,556.652,,1,4,6,6,,45.59,94.6936,,35.9656,
Bedaquiline,555.505,6.37,1,4,5,8,,45.59,154.023,-6.46,57.291,
Pantethine,554.721,-0.25,8,8,0,19,,197.32,139.834,-3.67,59.4168,12.9804
Ceftriaxone,554.58,-0.01,4,12,4,8,,208.98,128.467,-3.72,51.4671,3.96358
Arbekacin,552.619,-2.93,11,15,3,10,,297.27,129.083,-1.13,56.6542,13.0096
Aliskiren,551.758,3.87,4,7,1,19,,146.13,154.318,-5.42,64.2484,15.8994
Bosentan,551.614,4.18,2,9,4,10,,145.65,166.657,-4.79,57.8853,15.0988
Edoxaban,548.06,1.61,3,7,4,6,,136.63,140.143,-4.68,56.3128,12.3244
Darunavir,547.664,1.76,3,7,4,11,,140.42,142.341,-3.91,57.2417,14.2314
Telotristat,546.94,2.24,3,8,4,9,,142.17,135.459,-5.2,52.4615,16.0553
Ceftazidime,546.576,-1.21,3,10,4,9,,191.22,143.881,-5.02,51.0569,3.1591
Omacetaxine mepesuccinate,545.621,2.09,2,8,5,11,,123.99,142.075,-3.7,57.6214,18.5307
Epirubicin,543.519,1.41,6,12,5,5,,206.07,134.594,-2.67,53.8813,11.0204
Doxorubicin,543.519,1.41,6,12,5,5,,206.07,134.594,-2.67,53.8665,11.0204
Indium In-111 oxyquinoline,543.364,5.38,0,2,6,0,,35.95,52.5105,-5.63,14.4821,
Cefonicid,542.566,-0.71,4,11,4,9,,204.91,136.576,-2.78,47.9561,3.10973
Ciclesonide,540.697,4.08,1,6,6,6,,99.13,146.279,-5.54,60.1803,15.5621
Romidepsin,540.69,3.05,4,9,2,2,,156.66,144.172,-4.41,54.5568,3.20801
Choline magnesium trisalicylate,539.814,,1,3,3,5,,60.36,46.1322,,12.3759,13.2287
Nintedanib,539.625,3.29,2,7,5,8,,97.71,159.852,-4.13,59.7032,15.8493
Mezlocillin,539.582,0.21,3,8,4,5,,173.5,124.878,-3.06,51.4991,11.4199
Fluticasone furoate,538.576,3.73,1,4,5,6,,93.81,130.085,-4.09,51.5549,14.484
Ambenonium,537.565,2.27,2,2,2,15,,58.2,173.571,-8.81,59.9838,16.4812
Beta carotene,536.888,9.72,0,0,2,10,,0,191.612,-6.14,71.8414,
Lycopene,536.888,9.16,0,0,0,16,,0,197.806,-6.13,73.6946,
